,USACNCN,EWH,USAFDI,USAMKT,EWP
b0,0.08815379213341634,0.09017076604204982,0.08815379213341634,0.10206869466618221,0.10206869466618224
b1,-0.0835612251109814,0.099736176566439,0.043171231528854055,0.40996521248793977,0.004526894308710491
b2,0.010489195145119833,-0.07231931684834109,0.13768844053637372,0.17636308963930297,-0.033005423526965325
